question,answer
What is Python?,Python is a high-level programming language.
Who developed Python?,Python was created by Guido van Rossum.
What is machine learning?,Machine learning is a field of AI that allows computers to learn from data.
What is the capital of France?,The capital of France is Paris.
How does speech recognition work?,Speech recognition converts spoken language into text using AI models.
What is Google Gemini?,Google Gemini is an advanced AI model developed by Google for text and image generation.
What is the largest planet?,Jupiter is the largest planet in the solar system.
What is artificial intelligence?,Artificial intelligence is the simulation of human intelligence in machines.
Who is Albert Einstein?,Albert Einstein was a theoretical physicist known for the theory of relativity.
What is the speed of light?,"The speed of light is approximately 299,792 kilometers per second."
What is the formula for the area of a circle?,The formula for the area of a circle is πr².
Who wrote 'Romeo and Juliet'?,Romeo and Juliet was written by William Shakespeare.
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c² in a right triangle.
What is the boiling point of water?,The boiling point of water is 100°C or 212°F at sea level.
What is the currency of Japan?,The currency of Japan is the Japanese Yen (JPY).
